mr_id,mr_title,author,repo,total_changed_lines,added_lines,deleted_lines,changed_files_count,max_file_changed_lines,code_files_count,test_files_count,has_only_test_change,has_only_doc_change,code_lines_ratio,modified_methods_count,max_method_complexity,max_method_lines,max_nesting_level,has_new_dependency,has_database_migration,has_api_change,has_breaking_change,has_unit_test,unit_test_coverage,test_coverage_change,new_test_count,test_to_code_ratio,ci_build_passed,ci_unit_test_passed,ci_lint_passed,lint_issues_count,security_vulnerabilities,code_smells_count,author_total_mrs,author_mrs_last_30d,author_merge_rate_30d,author_revert_rate_30d,is_first_mr,is_core_contributor,author_days_in_repo,author_avg_mr_size,author_bug_fix_count_30d,commit_count,avg_commit_size,commit_message_quality,repo_importance_score,is_repo_owner,is_maintainer,involves_payment,involves_pii,involves_auth,involves_security,modifies_critical_file,has_todo_or_fixme,can_auto_merge
MR-01191,Feature/Fix #1191,author_15,repo_3,82,45,11,2,56,2,0,0,0,0.7713511105797719,9,7.409830261649211,13,1,0,0,0,0,1,48.63773273128247,-3.655330852763405,0,0.4293108211147912,1,0,1,3,1,5,36,5,0.5228505071503067,0.1235693085154592,0,0,318,15,4,3,103,7.229903503077834,7.444409642992293,0,1,0,0,1,0,0,0,0
MR-01192,Feature/Fix #1192,author_21,repo_1,20,11,27,9,33,1,0,0,0,0.861336907867614,4,7.229717370309593,33,3,0,0,0,0,1,39.80931308154202,-4.746882813953152,3,0.5995725855067398,1,0,1,1,0,3,23,2,0.8776080575542379,0.0524067670165008,0,0,773,352,1,1,80,8.08058632097361,7.53216398238683,0,0,0,0,0,0,0,0,0
MR-01193,Feature/Fix #1193,author_15,repo_4,16,1,6,2,29,3,2,0,0,0.7575854654360779,3,2.161235207926885,43,1,0,0,0,1,1,55.528436531470525,-3.581772650296013,4,0.0529404945556973,1,1,1,5,1,4,29,3,0.5212473683268881,0.1606937943458266,0,1,579,216,2,3,10,6.745022750254082,5.664679115006408,0,0,0,0,0,1,0,0,1
MR-01194,Feature/Fix #1194,author_9,repo_3,9,21,6,1,23,3,0,1,0,0.4445792339540029,5,4.459220144904978,27,3,0,0,0,0,1,69.7596564803145,-6.145501759896825,3,0.5204911276474314,1,1,1,5,0,0,36,3,0.8947483634041641,0.0824479484684048,0,1,3,10,0,4,75,8.01902107317678,3.924403080164314,0,0,0,0,0,0,0,0,1
MR-01195,Feature/Fix #1195,author_21,repo_1,18,20,21,3,8,1,0,0,1,0.6228081158547663,5,4.195761135340138,10,2,0,0,0,0,0,63.877050086212016,-0.1683636875148942,2,0.4001375216635556,0,1,0,2,0,4,86,5,0.5290032975499126,0.0105316340503833,0,0,22,510,1,2,10,8.226682026240383,5.864966182740297,1,1,0,0,0,0,1,0,1
MR-01196,Feature/Fix #1196,author_9,repo_3,15,47,20,5,14,2,0,0,1,0.6234187249701835,5,5.49653479977734,81,4,1,0,0,0,1,54.944692452627066,7.446336366624228,4,0.4187715921202641,1,1,1,2,1,1,27,1,0.7850539468189945,0.0542379127954637,0,1,16,163,0,4,11,8.987856059799253,5.213054161450141,0,0,0,0,0,0,0,0,1
MR-01197,Feature/Fix #1197,author_10,repo_4,45,137,36,1,18,6,1,0,0,0.4996818313199154,8,4.929189733305777,25,5,0,0,0,0,1,73.02836083635769,9.370621523571792,1,0.2056795686164102,0,1,1,1,1,0,12,2,0.8003662571780467,0.0483082063728651,0,0,4,67,2,2,18,6.873025101311661,6.183990459526106,0,0,0,0,0,0,0,0,0
MR-01198,Feature/Fix #1198,author_20,repo_8,13,17,35,3,101,3,0,0,0,0.6905040124384998,1,5.266292043245322,102,4,0,0,0,0,1,84.55501547961296,4.473153596153051,2,0.1777371403171429,1,1,1,1,0,2,80,2,0.7773926714261079,0.179640131355706,1,0,296,42,2,1,39,7.949642525400616,5.511300918198876,0,0,0,0,0,0,0,0,1
MR-01199,Feature/Fix #1199,author_21,repo_9,34,10,27,5,19,0,2,0,0,0.5248926681674637,5,3.0379167954458404,22,3,0,0,0,0,0,74.3562782646186,-6.917625383482407,2,0.3961792485425713,1,1,1,6,1,0,8,5,0.7820238541011837,0.2309060843451782,0,0,157,10,4,2,108,4.718230599868754,6.204242583336795,0,0,0,0,0,0,0,0,0
MR-01200,Feature/Fix #1200,author_9,repo_3,2,5,14,1,30,1,2,0,0,0.6900481350926423,7,3.926374848867314,10,3,0,0,0,0,0,42.09408567394512,-0.5492817684534568,2,0.104194002987714,1,1,1,2,1,3,7,3,0.85769755961103,0.0262538076649455,0,0,1063,166,4,2,104,5.7595261354407,6.1529720879450585,0,1,0,0,0,0,0,0,1
MR-01201,Feature/Fix #1201,author_3,repo_6,8,0,55,5,89,1,1,0,0,0.7950250526929508,4,6.687929303579841,15,4,0,0,0,0,1,73.8245000465498,3.827663130519319,1,0.2658899402142772,1,1,1,1,0,3,26,5,0.407508272350211,0.0083554549647867,0,0,17,10,0,2,44,7.994685481505037,5.669138717827154,0,0,0,0,0,0,0,1,0
MR-01202,Feature/Fix #1202,author_20,repo_10,20,17,24,1,25,4,1,1,0,0.7062519102967237,3,6.710847018417896,27,2,0,0,0,0,0,30.48941238209208,-11.35564313587487,2,0.2087986933775062,1,1,0,5,1,1,6,2,0.8108728011595078,0.0569556189402366,0,0,415,96,1,5,40,6.155657894932966,7.389837412004286,0,0,0,0,0,0,0,0,1
MR-01203,Feature/Fix #1203,author_11,repo_11,110,20,115,7,10,2,2,0,0,0.4861170017461309,2,3.3310037017238456,10,1,0,0,1,0,0,70.0768015233428,-8.48226759636513,1,0.4396231259090827,0,1,1,1,0,4,102,2,0.9355867296979355,0.121554319896787,0,0,115,78,2,2,53,5.572780747356656,4.912338448860514,0,0,0,0,0,0,0,0,0
MR-01204,Feature/Fix #1204,author_6,repo_5,18,43,42,3,16,1,3,0,0,0.6749838129896681,2,7.568665671742738,18,4,0,0,0,0,1,52.94168909983069,2.8984588096135093,0,0.4007893333177548,1,1,1,4,0,5,500,5,0.7528792440652214,0.1426637411811883,0,0,251,95,1,1,10,5.395016391050214,8.507744704930985,0,1,0,0,0,0,0,0,1
MR-01205,Feature/Fix #1205,author_2,repo_6,43,17,1,6,16,3,2,0,0,0.6884435244301411,3,13.252567492983935,10,4,0,0,0,0,0,60.01851395706833,-4.2894010176558055,8,0.1593097478620179,1,1,0,2,0,3,20,1,0.8446458749082102,0.0391226766525435,1,0,741,10,2,3,14,7.304160990194538,6.491442752065787,0,0,0,0,0,0,0,0,1
MR-01206,Feature/Fix #1206,author_7,repo_4,11,62,9,2,43,3,2,0,0,0.4960781077226916,4,5.774178953534857,77,3,0,0,0,0,0,42.54957539628499,3.3040271652686157,2,0.7284908740619411,1,1,1,3,2,3,52,4,0.6777208069744295,0.0051921254335925,0,0,105,26,4,3,28,6.5211818164573785,4.5954734518635085,0,0,0,0,0,0,0,0,0
MR-01207,Feature/Fix #1207,author_18,repo_10,5,24,21,2,12,3,2,0,0,0.3525232877174294,6,4.016421687118754,110,3,0,0,0,0,1,66.16091913079559,3.321061679068122,1,0.2222629396965847,0,1,1,5,1,2,145,2,0.877986922452255,0.0477157666348272,0,0,16,24,2,1,54,6.6908990865197975,4.930153909617581,1,0,0,0,1,0,0,0,0
MR-01208,Feature/Fix #1208,author_2,repo_6,2,45,31,4,45,1,1,0,0,0.6105933326509764,8,14.20560092065786,21,4,0,0,1,0,0,50.583721433013096,-1.821846043007244,2,0.3048331760235868,1,1,1,4,0,2,27,4,0.8229458577119001,0.0979679709614741,0,0,9,47,2,1,20,7.298417146033481,4.621330738752823,0,0,0,0,0,1,0,1,0
MR-01209,Feature/Fix #1209,author_17,repo_7,14,4,19,2,77,1,1,0,0,0.8977160543822499,7,6.856928015874729,78,4,0,0,0,0,1,72.49411285293613,-4.855487872633579,1,0.6366468273531303,1,1,1,3,0,0,50,5,0.8062864965537794,0.0392536493052875,0,1,9,38,4,6,223,6.86273117253118,5.790797114980956,0,0,0,0,0,0,0,0,1
MR-01210,Feature/Fix #1210,author_11,repo_9,6,48,38,2,14,4,2,0,0,0.4774098130201518,7,4.688319678296514,10,2,0,0,0,0,1,69.43178249999428,3.365536298196401,1,0.1720374919066344,0,1,1,6,0,3,29,3,0.7731579705673154,0.0882131125698261,0,1,48,94,4,2,17,7.152106194694103,8.328339787295064,0,0,0,0,0,0,0,0,0
MR-01211,Feature/Fix #1211,author_12,repo_10,7,28,8,4,5,1,0,0,1,0.5987319016624214,7,10.855625345585338,10,3,0,0,0,0,1,57.65779742266282,-3.462895889864221,3,0.1823830518979149,1,1,1,2,0,2,14,2,0.724066544872906,0.0750551111567106,0,0,20,108,0,3,64,6.153406810530555,3.5457475405550296,0,0,0,0,0,0,0,0,1
MR-01212,Feature/Fix #1212,author_19,repo_7,57,4,5,4,35,3,2,0,0,0.7095720246608803,6,3.6592694287891567,13,4,0,0,0,0,1,38.235681700101054,-1.7816953460205749,2,0.1792880612596837,1,1,1,4,0,4,52,3,0.8831151841976607,0.0485009243511646,0,1,455,10,2,2,15,6.001474758069095,5.681570767947063,0,0,0,0,0,0,1,0,0
MR-01213,Feature/Fix #1213,author_22,repo_6,1,5,1,4,15,3,1,1,0,0.6649598183726106,3,4.224088518115448,10,3,0,0,0,1,0,71.818889380516,-2.727507782950316,0,0.8382688384236238,1,1,1,3,1,3,52,3,0.8602812329934092,0.0584986455970583,0,0,12,37,4,1,74,6.553292061368984,7.697893276587318,0,1,0,0,0,0,0,0,1
MR-01214,Feature/Fix #1214,author_24,repo_1,32,65,21,4,26,4,2,0,0,0.6388613766404542,2,9.169087907145732,10,1,0,0,0,0,1,66.21635596291914,6.205745349713855,2,0.4191569834801816,1,1,1,3,0,4,45,7,0.8580303141704331,0.0023814913418173,1,1,104,10,0,1,12,6.874974753580744,6.150229376630362,0,0,0,0,0,0,0,0,1
MR-01215,Feature/Fix #1215,author_7,repo_2,19,0,29,5,35,3,1,0,0,0.6414259738973137,6,11.47145789825143,52,3,0,0,0,0,1,93.14613685752504,0.770604572087557,5,0.5816654153529418,1,1,1,5,0,3,4,5,0.6824035676912904,0.078287499183494,0,0,67,10,2,4,10,7.402986699741775,8.493371930765967,0,0,1,0,0,0,0,0,0
MR-01216,Feature/Fix #1216,author_20,repo_1,28,15,9,4,18,1,1,0,0,0.9460153844327124,2,6.067840531562691,59,5,0,0,0,0,1,37.85982950213608,-0.614884694035149,1,0.2503339889038588,1,1,1,1,0,2,6,3,0.8668461070512304,0.0321022194033336,0,0,36,31,5,1,197,6.007656851314738,5.474816693921483,0,0,0,0,0,0,0,0,1
MR-01217,Feature/Fix #1217,author_6,repo_9,33,9,23,3,90,3,1,0,0,0.4295142995757912,4,2.9858306810526845,28,2,0,0,0,0,1,64.82765506555516,1.623737991073496,1,0.1540572525038985,1,1,0,1,1,2,63,9,0.8615292284082882,0.0772529183637895,0,0,129,69,4,8,10,6.446802711674174,8.89874334597351,0,1,0,0,0,0,0,1,0
MR-01218,Feature/Fix #1218,author_21,repo_10,15,27,1,3,17,2,1,0,0,0.5464016780845284,3,7.752585781050389,44,3,0,0,0,0,1,70.16844022188786,-0.1953936206655154,1,0.2978452432237052,1,1,1,4,0,4,14,3,0.8290216313290688,0.0021858892764252,0,0,414,16,4,2,35,7.462027181130944,5.402980511482182,0,0,0,0,0,0,1,0,0
MR-01219,Feature/Fix #1219,author_24,repo_10,13,45,2,2,12,2,1,0,0,0.7031363452403766,2,9.260142026185624,11,3,0,0,0,0,1,51.31496225791378,9.960859112384153,0,0.3526150673771952,1,1,1,4,0,1,9,4,0.7482807308551807,0.1573839443563735,0,1,2000,22,3,3,10,8.45754731960834,8.23630502277139,1,0,0,0,0,0,0,0,1
MR-01220,Feature/Fix #1220,author_1,repo_9,52,11,30,4,75,7,1,0,0,0.4580580015431988,3,6.857113671222528,41,3,0,0,1,0,0,23.05405339659394,-7.105725871086872,2,0.2514187965268658,1,1,0,3,0,6,44,3,0.7223132128531363,0.1190035901733611,0,0,183,274,2,1,22,5.950094575181463,7.7944468014926045,0,0,0,1,0,0,0,0,0
MR-01221,Feature/Fix #1221,author_17,repo_7,82,13,11,5,5,0,1,0,0,0.5773149506454998,3,5.775406472797357,49,3,0,0,0,0,1,74.9828818630548,2.40615673042668,1,0.0399821532290333,0,1,1,4,0,1,7,9,0.8917384265471361,0.0115348118422514,1,0,264,198,0,5,22,6.200669246770232,3.849426286992157,0,0,0,0,0,0,0,0,0
MR-01222,Feature/Fix #1222,author_11,repo_2,8,100,27,3,5,5,2,0,0,0.6882760277241577,3,8.283351876433958,100,1,0,0,0,0,0,62.867028499442846,7.9254641536019745,4,0.5370689560528147,1,1,0,4,1,0,8,3,0.7752746007527501,0.1390278168135357,0,1,408,245,2,2,75,6.881426972751944,9.414755719284804,1,0,0,0,0,0,0,0,0
MR-01223,Feature/Fix #1223,author_22,repo_6,4,38,44,3,96,2,0,0,0,0.4784093300635891,0,6.405852959387115,10,4,0,0,0,0,1,85.80094097515075,-4.760236708860313,3,0.6494023924712543,1,1,1,4,0,1,20,2,0.8940828786208613,0.022120729407621,0,0,49,13,3,5,10,7.836499236643508,4.770997746501385,0,0,0,0,0,0,0,0,1
MR-01224,Feature/Fix #1224,author_18,repo_11,91,56,47,5,8,3,3,0,1,0.7978544856964915,5,9.471428967306752,65,3,0,0,0,0,1,47.39787236759035,4.474984547627248,2,0.4253301345625706,1,1,1,2,0,1,25,4,0.8333152857033702,0.0020546568760264,0,0,221,800,0,3,75,6.402434075982743,7.885475530280448,0,0,0,0,0,0,0,0,1
MR-01225,Feature/Fix #1225,author_21,repo_4,17,14,4,6,5,6,3,0,0,0.6310060329099436,2,1.588372006509312,10,5,0,0,0,0,1,81.35831563447466,-7.025278090912087,2,0.4399074544142763,1,1,1,1,0,4,10,6,0.8758736101837741,0.0553473533135309,0,1,361,84,1,5,36,5.713155081136242,9.5411969287424,1,1,0,0,0,0,0,0,1
MR-01226,Feature/Fix #1226,author_17,repo_1,32,6,16,3,26,3,3,1,0,0.6051507411597906,5,7.595722575509259,19,3,1,0,0,0,1,37.87077130173932,0.8610758615941232,3,0.3293696438668395,1,1,1,0,1,3,53,4,0.8834643527088107,0.0026631355008428,1,0,257,484,4,7,170,7.634107319737674,6.807840136592134,0,0,0,0,0,0,0,0,1
MR-01227,Feature/Fix #1227,author_7,repo_1,17,13,33,4,5,3,3,0,0,0.7619014001888376,4,10.351717786400304,10,3,0,0,0,0,1,85.50407698821667,7.446157908765712,0,0.1790400134859999,0,1,1,3,0,3,49,2,0.9444582339604132,0.1692748385620762,0,0,518,60,2,5,10,6.832461631374024,5.467288701478544,0,0,0,0,0,0,0,0,0
MR-01228,Feature/Fix #1228,author_17,repo_5,5,31,37,3,33,2,4,0,0,0.7661624501847992,3,8.321973653385513,107,3,1,0,0,0,1,45.37504381093107,-4.8921097818828,1,0.2643709098552617,1,1,1,1,0,1,183,6,0.7946315448329186,0.0827535679186699,0,0,40,23,0,7,54,7.506011599444283,5.859695706302817,0,0,0,0,0,0,0,0,0
MR-01229,Feature/Fix #1229,author_20,repo_2,35,2,38,6,21,4,2,0,0,0.6640224468660154,2,7.222245207438919,115,2,0,0,0,0,1,66.48418072522522,-2.0562807717790483,3,0.584656500224202,1,1,1,4,0,3,11,4,0.7560759504919716,0.0367510068170515,0,0,51,160,3,5,25,7.96825173474107,4.706749577587083,0,0,0,0,0,0,0,0,1
MR-01230,Feature/Fix #1230,author_9,repo_4,29,7,6,3,35,1,2,0,0,0.6827616640595083,5,4.536168791571804,110,2,0,0,0,0,1,45.02864706146942,-8.89498045354965,2,0.5171809981945295,1,1,1,5,0,3,84,6,0.8670437170011809,0.0051191194979104,0,0,143,17,2,1,44,7.246197133178128,5.403111267738197,0,0,0,0,0,0,0,0,1
MR-01231,Feature/Fix #1231,author_17,repo_1,9,1,5,1,11,3,1,0,0,0.7791017287578975,1,7.070899529484485,10,3,0,0,0,0,0,41.4602591585667,2.463224028467725,1,0.5301757649780963,1,0,1,5,0,1,65,3,0.887290112612706,0.0151563066038696,0,0,146,31,2,7,10,5.423402948900084,7.0447394967015935,0,1,0,0,0,0,0,0,0
MR-01232,Feature/Fix #1232,author_20,repo_4,24,14,22,3,82,4,0,0,0,0.7267511167455868,5,9.911191541409153,12,3,0,0,0,0,1,78.2181786475313,1.4213770655176492,4,0.204725950626258,1,1,1,2,0,4,54,5,0.8408821388198715,0.0267793745214232,0,0,12,10,2,2,50,7.985675930319154,7.352938612218885,0,0,0,0,0,0,0,0,1
MR-01233,Feature/Fix #1233,author_22,repo_11,63,43,33,3,11,0,2,0,0,0.7213172387691967,1,10.543032008176231,17,4,0,0,0,0,0,83.65374265761257,3.5321107707797745,1,0.4092459271006735,1,1,1,4,1,1,203,6,0.6574586420011436,0.0196306362160912,0,0,70,159,0,1,47,8.046558411244028,5.7591073710463805,0,0,0,0,0,0,0,0,0
MR-01234,Feature/Fix #1234,author_22,repo_6,35,0,9,1,35,3,0,0,0,0.7941394366738511,1,7.880584293024324,134,5,0,0,0,0,1,55.51368349766197,-3.048062561930662,3,0.2548474269933657,1,0,1,2,0,3,31,3,0.8303593905805104,0.0816149754862412,0,0,92,23,3,4,20,5.094301184289134,9.574185867786204,0,0,0,0,0,0,0,0,0
MR-01235,Feature/Fix #1235,author_8,repo_10,4,28,2,2,101,3,0,0,0,0.679633862733614,2,13.519942731213202,53,4,0,0,0,0,1,82.81435776796407,1.0458385158841874,2,0.5071309885016493,1,1,0,6,0,2,21,3,0.8036129294097503,0.1105663750215281,0,1,1618,142,2,1,274,7.13913143001626,6.373529792805746,0,0,0,0,0,0,0,0,1
MR-01236,Feature/Fix #1236,author_17,repo_4,31,67,31,4,17,4,2,0,0,0.4931654040954257,2,3.5780364810219125,36,2,0,0,0,1,1,37.68403658536726,-2.4343061617108743,3,0.374395092620842,1,0,1,5,0,3,16,6,0.816412322894338,0.0149910874058387,0,1,18,45,0,2,18,7.278315204166347,7.316247334439923,0,0,0,0,0,0,0,0,0
MR-01237,Feature/Fix #1237,author_7,repo_1,48,6,8,4,6,2,3,0,0,0.6448068418112743,3,8.343902068970106,16,3,0,0,0,0,1,67.45487112969684,-0.940214524402234,0,0.2611396255462811,1,1,1,5,0,3,15,5,0.6600822226165493,0.0131927903311766,0,0,34,18,1,4,18,6.079574514532696,7.395298510598141,0,0,0,0,0,0,0,0,1
MR-01238,Feature/Fix #1238,author_1,repo_7,62,29,4,2,5,0,2,0,0,0.6287563267587322,6,2.5601166413053864,128,2,0,0,1,1,0,61.1721553278885,8.039156184612546,2,0.1155208151495087,1,1,0,4,2,2,2,7,0.9118306612895136,0.0189404721681142,1,0,25,200,4,2,79,4.505418382981903,4.521382205284197,0,0,0,0,0,0,0,0,0
MR-01239,Feature/Fix #1239,author_13,repo_2,39,92,3,2,115,1,3,0,0,0.6406176203245495,6,10.48371863860896,43,1,1,0,1,0,0,59.66956329916611,-1.8970410978106635,1,0.5105927959080776,1,1,1,2,1,0,38,5,0.7510974937040291,0.0103214939088033,0,0,435,10,1,1,19,8.860467475102183,6.097272832704548,0,1,0,0,0,0,0,0,0
MR-01240,Feature/Fix #1240,author_23,repo_9,6,81,9,3,50,1,0,0,0,0.7277002369391545,2,9.41982965019141,25,3,0,0,0,0,0,50.73764886228075,2.886908041562521,3,0.138877205398485,1,1,1,5,0,0,39,2,0.9600277177103408,0.0954165376315722,0,0,145,121,3,2,244,7.449692079452901,7.984862594314452,0,0,0,0,0,0,0,0,0
MR-01241,Feature/Fix #1241,author_19,repo_3,49,6,22,2,87,2,2,0,0,0.6252043803767614,1,9.90684545541968,25,2,0,0,0,0,1,84.88566727432747,4.369768123142276,1,0.3884277824121067,1,1,1,1,0,2,6,2,0.7138483308242477,0.0366377507401465,0,0,69,36,1,1,104,7.380123011668258,6.259699898938496,0,0,0,0,0,0,0,0,1
MR-01242,Feature/Fix #1242,author_24,repo_8,45,2,11,1,42,2,0,0,0,0.584664494412713,3,5.544747481874527,10,1,0,0,0,0,1,75.29695346703902,5.354799745903213,4,0.4059709866308243,1,1,0,3,1,1,21,2,0.6402548262312785,0.0220871084447926,0,0,21,38,3,4,47,7.0035286767323335,3.759820477190456,0,0,0,0,0,0,0,0,0
MR-01243,Feature/Fix #1243,author_19,repo_8,1,4,0,4,14,2,0,0,0,0.5892457808929903,3,4.463604324916371,16,7,0,0,0,0,1,80.99588100492534,-3.984046204701043,2,0.1765933085278572,1,1,1,6,1,4,5,5,0.6018685622882587,0.1508077559409493,1,0,59,18,2,4,156,5.647803196828972,5.835733757439636,0,0,0,0,0,0,0,0,0
MR-01244,Feature/Fix #1244,author_17,repo_3,21,30,2,2,5,2,6,1,0,0.7436017083345511,2,4.449623537385747,10,1,0,0,0,0,0,70.77819251687626,5.968548964533456,1,0.2304416943914565,1,0,0,4,1,6,11,3,0.9272260640841752,0.0613503707037084,0,1,116,10,1,2,128,6.836367549529865,7.126307607239831,0,0,0,0,0,0,0,0,0
MR-01245,Feature/Fix #1245,author_13,repo_4,16,32,8,2,92,1,2,1,0,0.8196137747774136,3,11.41371805097258,46,4,0,1,0,0,0,79.50551595043808,-0.861953988577975,2,0.1885724227974524,0,0,1,7,0,5,20,4,0.725408949040376,0.1009043485171522,0,0,98,42,3,4,113,6.572805832305976,6.436533986000654,0,0,0,0,1,0,0,0,0
MR-01246,Feature/Fix #1246,author_16,repo_2,44,28,26,2,23,2,3,0,0,0.7317125514141561,2,6.82167978655629,73,4,0,0,0,0,1,71.45660266915199,-0.3531476487687033,1,0.2292561511509906,1,0,1,1,0,3,60,4,0.8253384788620873,0.1705793865185169,1,0,85,117,3,6,10,8.404619947131565,3.5175590850517717,0,0,0,0,0,0,0,1,0
MR-01247,Feature/Fix #1247,author_8,repo_4,9,10,2,4,17,6,2,0,0,0.8404012283287416,3,4.263703132499478,93,3,0,0,0,0,0,45.516560714136325,6.148032199266327,4,0.6044394212946477,1,1,1,2,0,2,1,2,0.7973622970788472,0.0259208010402889,1,0,3,20,3,2,10,5.469372428697547,7.4519479465016705,0,1,0,0,0,0,0,0,0
MR-01248,Feature/Fix #1248,author_19,repo_11,35,4,20,2,30,5,2,0,0,0.7070536644312982,5,3.107115826629468,132,3,0,0,1,0,0,84.4198112674323,-8.878085398908498,3,0.1176189772859584,1,1,0,3,0,1,5,2,0.951635637174851,0.0127694770080915,0,0,81,232,0,1,20,7.862855054723443,6.552590519486339,0,0,0,0,0,0,1,1,0
MR-01249,Feature/Fix #1249,author_18,repo_11,97,21,3,2,5,4,1,0,0,0.6788068955449424,4,5.964708254138689,10,5,0,0,1,0,0,48.13929470032232,-0.4968546661128828,2,0.3102135453996663,0,1,1,5,0,2,14,3,0.8733079297379678,0.1613728598420731,0,1,114,496,3,3,34,5.242887155605319,8.741791990475505,0,0,0,0,0,0,0,0,0
MR-01250,Feature/Fix #1250,author_1,repo_11,63,16,5,3,12,0,1,0,0,0.2445562082961837,6,3.7623020575568815,25,2,0,0,0,0,1,53.92596597013618,-0.368721375506037,1,0.3711073022452797,1,1,1,0,1,3,51,5,0.9278718776223088,0.0063856627291697,0,0,28,19,1,3,12,7.690515891572211,5.412774644343209,0,1,0,0,0,0,0,0,0
MR-01251,Feature/Fix #1251,author_14,repo_9,101,32,4,3,35,2,2,0,0,0.5860631409932733,4,5.496233198338077,46,3,1,0,0,0,1,76.37144629047428,4.361876498201025,1,0.1811815643714982,1,0,1,6,0,1,36,4,0.7896120893371408,0.096512202715401,1,0,9,228,2,5,26,6.315702964268568,5.4056057553801775,0,0,0,0,0,0,0,0,0
MR-01252,Feature/Fix #1252,author_19,repo_2,153,14,1,5,5,3,1,0,0,0.6081757796936388,6,3.7511338663943103,36,1,1,0,0,0,1,43.90326255417099,-10.178677492364509,3,0.4036792214054096,1,1,1,4,1,2,61,4,0.8940444661486802,0.1011152127563693,0,0,29,53,4,3,11,6.428826686576343,7.866119050470903,0,0,0,0,0,0,0,1,0
MR-01253,Feature/Fix #1253,author_15,repo_3,1,10,27,2,5,2,1,1,0,0.7819001916993321,3,6.992749493562581,150,6,0,0,0,0,0,55.88233260760392,-1.641296332203077,4,0.3489211373899181,1,1,1,8,0,2,53,4,0.8007196170380457,0.0276718413442375,0,1,24,80,2,4,58,5.262354697979276,3.706177820375231,0,0,0,0,0,0,0,1,1
MR-01254,Feature/Fix #1254,author_18,repo_11,38,8,15,5,25,1,1,0,0,0.5183406812025793,7,2.9085593139987536,10,5,0,0,0,0,1,84.10598876098699,-3.915179591211599,0,0.1661690089505227,1,1,1,6,1,1,49,1,0.8644348166573901,0.0867082338657921,0,1,401,46,1,5,22,5.191837877356607,7.43083062882449,0,0,0,0,0,0,0,0,0
MR-01255,Feature/Fix #1255,author_2,repo_11,21,5,44,4,34,1,1,0,0,0.7420185012643951,5,2.85046431898574,30,3,0,0,0,0,1,31.68528576594113,-7.803293995696374,3,0.1641619157099855,1,1,1,3,0,2,3,4,0.7866653002058603,0.0072405568943462,0,0,74,375,1,3,35,5.647662267861433,6.772005009533874,0,0,0,0,0,0,0,1,0
MR-01256,Feature/Fix #1256,author_22,repo_4,78,7,2,3,7,2,1,0,0,0.7308349529552142,3,9.931257901236073,11,2,0,0,0,0,0,89.28614621152656,3.1529319396162863,1,0.2846484053015181,1,1,1,3,0,2,28,3,0.9462555442681092,0.0352030490281458,1,0,148,23,2,4,89,7.528414512547023,7.196016310612864,0,0,0,0,0,0,0,0,0
MR-01257,Feature/Fix #1257,author_17,repo_5,11,2,3,3,5,4,1,0,0,0.8368805852397216,5,3.163735524516958,38,5,0,0,0,0,1,65.26159879788442,1.1926233673910198,5,0.2655322499274249,1,1,1,3,0,4,2,6,0.7339718445297373,0.0873763545918695,0,0,81,271,0,3,10,8.464364703831162,6.615149987880203,0,0,0,0,0,1,0,0,0
MR-01258,Feature/Fix #1258,author_18,repo_1,158,10,9,1,111,2,1,0,0,0.7247976377508116,6,12.919355638571258,12,3,0,0,1,0,1,77.45288918643575,-8.737476948583462,3,0.2472335477934573,1,1,1,5,0,1,38,8,0.7086958551551323,0.0180727091962797,1,0,24,76,2,3,35,7.618239352671125,6.293057910080646,0,0,0,0,0,1,0,0,0
MR-01259,Feature/Fix #1259,author_6,repo_7,38,0,36,5,5,2,1,0,0,0.3827152107457912,8,7.312723453063201,45,3,0,0,0,0,0,57.88592795746842,-1.0553867179830263,1,0.3119797343480102,1,1,1,3,0,3,5,7,0.7002837499161746,0.0493138264250204,0,0,22,22,0,2,126,6.231748182754517,6.867229919702325,0,1,0,0,0,1,1,0,0
MR-01260,Feature/Fix #1260,author_19,repo_10,63,5,9,1,5,4,1,0,0,0.8352936316086212,4,5.058863405764441,35,3,0,0,0,0,1,76.00185330540484,0.6131547688570064,1,0.1718014025349414,1,1,0,4,0,5,15,4,0.8481568535248566,0.0569112542953141,0,0,165,27,3,3,66,7.923894494177018,8.632409865539081,0,0,0,0,1,0,0,0,0
MR-01261,Feature/Fix #1261,author_4,repo_7,3,34,13,1,13,2,2,0,0,0.9342293633000104,0,4.903347237506484,10,4,0,0,0,0,1,62.63071145866223,-1.893132681314734,2,0.1557629571932975,1,1,1,4,0,4,2,5,0.8358440515865552,0.0648193994538645,0,0,38,22,3,3,39,7.694556304388834,8.303079935866675,0,0,0,0,0,0,0,0,0
MR-01262,Feature/Fix #1262,author_1,repo_9,8,9,8,2,8,5,0,0,0,0.7667053713457421,2,8.150089066550358,10,2,0,0,1,0,0,37.30310461077698,1.02077219959869,3,0.288980122354412,1,1,0,4,1,2,36,3,0.7076252891165321,0.0728417994934461,0,0,31,800,0,1,43,5.662445163834241,7.467067327538039,0,0,0,0,0,0,0,0,0
